시도명,연도,면적_ha,생산량_톤,생육기_최고기온(°C),총합_냉해_스트레스_일수,폭염일수 평균,장마_평균_일강수량(mm),합계 일조시간(hr),관측소 수,평균 일조시간(시간)
전라북도,2024,1137,11058,37.5,1,26.9,17.883,12038.7,10,1204
제주도,2015,1,0,36.7,0,4,20.557,4567.1,4,1142
제주도,2016,2,33,35.5,0,8.25,13.668,4316.4,4,1079
제주도,2017,2,24,37,0,11.75,11.847,4873.9,4,1218
제주도,2018,2,21,35.5,0,9,12.932,4612.8,4,1153
제주도,2019,23,4,35.4,0,5,23.754,4630.9,4,1158
제주도,2020,19,3,36.3,0,7.5,15.961,4533.4,4,1133
제주도,2021,0,1,34.2,0,7.5,11.189,4688.5,4,1172
제주도,2022,0,0,37.5,0,12,12.73,4883.5,4,1221
제주도,2023,1,3,37.3,0,8.67,14.682,4253.2,4,1063
제주도,2024,1,1,35.5,0,18.75,18.379,4548.5,4,1137
충청남도,2015,515,4108,36.3,0,5.2,9.168,5993.5,5,1199
충청남도,2016,395,3871,36.2,3,20.83,14.498,7568.1,6,1261
충청남도,2017,405,4057,36.5,0,7.83,16.565,7673.7,6,1279
충청남도,2018,379,3805,39.3,1,32,21.344,7789.3,6,1298
충청남도,2019,371,3205,36.4,1,10.5,9.481,6885.9,6,1148
충청남도,2020,370,2799,34.9,3,4,17.617,6363.6,6,1061
충청남도,2021,293,2619,35.8,0,14.33,8.574,6872.4,6,1145
충청남도,2022,280,2282,35,5,8.83,12.617,7240.7,6,1207
충청남도,2023,276,2256,36.2,0,15,26.666,6866.2,6,1144
충청남도,2024,242,1907,36.7,0,23.67,23.948,7723.8,6,1287
충청북도,2015,4174,32592,36.4,0,9.5,11.125,5025.2,4,1256
충청북도,2016,5380,48272,36.7,0,27,19.734,4793.3,4,1198
충청북도,2017,5827,51624,36.7,0,10,22.292,5113.9,4,1278
충청북도,2018,5756,50690,40,2,37.5,20.205,5136.9,4,1284
충청북도,2019,5569,55465,36.7,2,15.5,8.785,4674.8,4,1169
충청북도,2020,5354,45073,36,2,6,16.221,4258.4,4,1065
충청북도,2021,4927,46063,36.4,0,16.25,10.68,4508.1,4,1127
충청북도,2022,4962,45070,36,0,11.25,14.77,4856.3,4,1214
충청북도,2023,4661,47024,36.4,1,16.6,28.075,5370.9,5,1074
충청북도,2024,4517,47559,37,3,20.8,22.815,6140.8,5,1228
