지점,년도,복숭아_발아,복숭아_발아(평비),복숭아_개화,복숭아_개화(평비),복숭아_만발,복숭아_만발(평비),개화,만발,연도,차이
광주,2017,2017-03-15,-3일,2017-04-04,3일,2017-04-09,3일,2017-04-04,2017-04-09 0:00,2017,5
광주,2018,2018-03-12,-6일,2018-03-30,-2일,2018-03-31,-6일,2018-03-30,2018-03-31 0:00,2018,1
광주,2019,2019-02-24,-22일,2019-03-29,-3일,2019-04-02,-4일,2019-03-29,2019-04-02 0:00,2019,4
광주,2020,2020-02-24,-23일,2020-03-24,-8일,2020-03-29,-8일,2020-03-24,2020-03-29 0:00,2020,5
광주,2021,2021-02-21,-25일,2021-03-23,-9일,2021-03-25,-12일,2021-03-23,2021-03-25 0:00,2021,2
광주,2022,2022-02-28,-18일,2022-03-30,-2일,2022-04-02,-4일,2022-03-30,2022-04-02 0:00,2022,3
광주,2023,2023-03-02,-16일,2023-03-24,-8일,2023-03-27,-10일,2023-03-24,2023-03-27 0:00,2023,3
광주,2024,2024-03-23,5일,2024-04-02,1일,2024-04-04,-2일,2024-04-02,2024-04-04 0:00,2024,2
대구,2015,2015-03-21,2일,2015-03-30,-2일,2015-04-06,2일,2015-03-30,2015-04-06 0:00,2015,7
대구,2016,2016-03-27,8일,2016-03-30,-2일,2016-04-01,-3일,2016-03-30,2016-04-01 0:00,2016,2
대구,2017,2017-03-21,2일,2017-03-28,-4일,2017-03-31,-4일,2017-03-28,2017-03-31 0:00,2017,3
대구,2018,2018-03-13,-6일,2018-03-31,-1일,2018-04-03,-1일,2018-03-31,2018-04-03 0:00,2018,3
대구,2019,2019-03-19,0일,2019-03-25,-7일,2019-03-29,-6일,2019-03-25,2019-03-29 0:00,2019,4
대구,2020,2020-03-17,-2일,2020-03-21,-11일,2020-03-25,-10일,2020-03-21,2020-03-25 0:00,2020,4
대구,2021,2021-03-16,-3일,2021-03-23,-9일,2021-03-28,-7일,2021-03-23,2021-03-28 0:00,2021,5
대구,2022,2022-03-21,2일,2022-03-29,-3일,2022-04-03,-1일,2022-03-29,2022-04-03 0:00,2022,5
대구,2023,2023-03-10,-9일,2023-03-22,-10일,2023-03-28,-7일,2023-03-22,2023-03-28 0:00,2023,6
대구,2024,2024-03-08,-11일,2024-03-29,-3일,2024-04-02,-2일,2024-03-29,2024-04-02 0:00,2024,4
대전,2015,2015-03-29,0일,2015-04-05,-4일,2015-04-13,1일,2015-04-05,2015-04-13 0:00,2015,8
대전,2016,2016-03-21,-8일,2016-04-02,-7일,2016-04-07,-5일,2016-04-02,2016-04-07 0:00,2016,5
대전,2017,2017-03-28,-1일,2017-04-08,-1일,2017-04-11,-1일,2017-04-08,2017-04-11 0:00,2017,3
대전,2018,2018-03-30,1일,2018-04-03,-6일,2018-04-09,-3일,2018-04-03,2018-04-09 0:00,2018,6
대전,2019,2019-03-29,0일,2019-04-07,-2일,2019-04-12,0일,2019-04-07,2019-04-12 0:00,2019,5
대전,2020,2020-03-20,-9일,2020-03-28,-12일,2020-03-31,-12일,2020-03-28,2020-03-31 0:00,2020,3
대전,2021,2021-03-20,-9일,2021-03-29,-11일,2021-04-02,-10일,2021-03-29,2021-04-02 0:00,2021,4
대전,2022,2022-03-16,-13일,2022-04-06,-3일,2022-04-09,-3일,2022-04-06,2022-04-09 0:00,2022,3
대전,2023,2023-03-19,-10일,2023-03-28,-12일,2023-03-31,-12일,2023-03-28,2023-03-31 0:00,2023,3
대전,2024,2024-03-15,-14일,2024-04-02,-7일,2024-04-04,-8일,2024-04-02,2024-04-04 0:00,2024,2
부산,2015,2015-03-13,-1일,2015-03-30,1일,,,2015-03-30,2015-04-05 2:40,2015,
부산,2016,2016-03-10,-4일,2016-03-31,2일,2016-04-08,,2016-03-31,2016-04-08 0:00,2016,8
부산,2017,2017-03-19,5일,2017-03-28,-1일,2017-04-07,,2017-03-28,2017-04-07 0:00,2017,10
부산,2018,2018-03-17,3일,2018-03-29,0일,2018-04-03,,2018-03-29,2018-04-03 0:00,2018,5
부산,2019,2019-03-14,0일,2019-03-25,-4일,2019-03-28,,2019-03-25,2019-03-28 0:00,2019,3
부산,2020,2020-03-02,-12일,2020-03-19,-10일,2020-03-28,,2020-03-19,2020-03-28 0:00,2020,9
부산,2021,2021-03-09,-5일,2021-03-18,-11일,2021-03-22,,2021-03-18,2021-03-22 0:00,2021,4
부산,2022,2022-03-17,3일,2022-03-30,1일,2022-04-07,,2022-03-30,2022-04-07 0:00,2022,8
부산,2023,2023-03-15,1일,2023-03-23,-6일,2023-03-26,,2023-03-23,2023-03-26 0:00,2023,3
부산,2024,2024-03-17,3일,2024-03-30,1일,2024-04-04,,2024-03-30,2024-04-04 0:00,2024,5
서울,2015,2015-03-31,0일,2015-04-11,-2일,2015-04-17,0일,2015-04-11,2015-04-17 0:00,2015,6
서울,2016,2016-04-01,1일,2016-04-06,-7일,2016-04-10,-7일,2016-04-06,2016-04-10 0:00,2016,4
서울,2017,2017-04-01,1일,2017-04-11,-2일,2017-04-14,-3일,2017-04-11,2017-04-14 0:00,2017,3
서울,2018,2018-04-02,2일,2018-04-13,0일,2018-04-16,-1일,2018-04-13,2018-04-16 0:00,2018,3
서울,2019,2019-04-01,1일,2019-04-12,-1일,2019-04-17,0일,2019-04-12,2019-04-17 0:00,2019,5
서울,2020,2020-03-27,-4일,2020-04-06,-7일,2020-04-11,-6일,2020-04-06,2020-04-11 0:00,2020,5
서울,2021,2021-03-31,0일,2021-04-04,-9일,2021-04-09,-8일,2021-04-04,2021-04-09 0:00,2021,5
서울,2022,2022-04-05,5일,2022-04-11,-2일,2022-04-15,-2일,2022-04-11,2022-04-15 0:00,2022,4
서울,2023,2023-03-29,-2일,2023-04-03,-10일,2023-04-13,-4일,2023-04-03,2023-04-13 0:00,2023,10
서울,2024,2024-03-28,-3일,2024-04-06,-7일,2024-04-10,-7일,2024-04-06,2024-04-10 0:00,2024,4
울산,2015,2015-03-24,5일,2015-03-30,-1일,,,2015-03-30,2015-04-03 21:20,2015,
