지점,년도,복숭아,복숭아,복숭아,복숭아,복숭아,복숭아
,,발아,발아(평비),개화,개화(평비),만발,만발(평비)
여수,2020,2020-03-20,5일,2020-04-01,-1일,2020-04-03,-5일
여수,2021,2021-03-19,4일,2021-03-26,-7일,2021-03-29,-10일
여수,2022,2022-03-15,0일,2022-03-30,-3일,2022-04-05,-3일
여수,2023,2023-03-21,6일,2023-03-25,-8일,2023-03-29,-10일
여수,2024,2024-03-27,12일,2024-03-31,-2일,2024-04-04,-4일
흑산도,2018,2018-04-02,13일,2018-04-11,-1일,2018-04-17, 
흑산도,2019,2019-03-18,-2일,2019-04-15,3일,2019-04-19, 
흑산도,2020,2020-03-24,4일,2020-04-16,4일,2020-04-24, 
흑산도,2021,2021-03-28,8일,2021-04-01,-11일,2021-04-14, 
흑산도,2022,2022-03-29,9일,2022-04-05,-7일,2022-04-15, 
흑산도,2023,2023-03-25,5일,2023-04-02,-10일,2023-04-08, 
흑산도,2024,2024-03-14,-6일,2024-04-07,-5일,2024-04-15, 
전주,2018,2018-03-14,-10일,2018-04-01,-7일,2018-04-04,-6일
전주,2019,2019-03-22,-2일,2019-04-06,-2일,2019-04-11,1일
전주,2020,2020-03-15,-9일,2020-03-30,-9일,2020-04-02,-8일
전주,2021,2021-03-15,-9일,2021-03-24,-15일,2021-03-29,-12일
전주,2022,2022-03-10,-14일,2022-04-05,-3일,2022-04-07,-3일
전주,2023,2023-03-13,-11일,2023-03-29,-10일,2023-04-01,-9일
전주,2024,2024-03-11,-13일,2024-04-02,-6일,2024-04-05,-5일
서귀포,2019,2019-03-08,1일,2019-03-20,0일,2019-03-25, 
서귀포,2020,2020-03-04,-3일,2020-03-13,-7일,2020-03-19, 
서귀포,2021,2021-03-02,-5일,2021-03-08,-12일,2021-03-12, 
서귀포,2022,2022-03-17,10일,2022-03-22,2일,2022-03-24, 
서귀포,2023,2023-03-10,3일,2023-03-15,-5일,2023-03-20, 
서귀포,2024,2024-03-15,8일,2024-03-19,-1일,2024-03-29, 
제주,2018,2018-03-11,-1일,2018-03-19,-6일,2018-03-26, 
제주,2019,2019-03-11,-1일,2019-03-20,-5일,2019-03-26, 
제주,2020,2020-03-13,1일,2020-03-18,-7일,2020-03-26, 
제주,2021,2021-03-04,-8일,2021-03-09,-16일,2021-03-13, 
제주,2022,2022-03-17,5일,2022-03-24,-1일,2022-03-29, 
제주,2023,2023-03-13,1일,2023-03-24,-1일,2023-03-29, 
제주,2024,2024-03-15,3일,2024-03-25,0일,2024-04-05, 
홍성,2018,2018-04-02, ,2018-04-12, ,2018-04-15, 
홍성,2019,2019-04-09, ,2019-04-16, ,2019-04-19, 
홍성,2020,2020-03-26, ,2020-04-06, ,2020-04-09, 
홍성,2021,2021-04-01, ,2021-04-07, ,2021-04-10, 
홍성,2022,2022-03-24, ,2022-04-11, ,2022-04-16, 
홍성,2023,2023-03-31, ,2023-04-10, ,2023-04-15, 
홍성,2024,2024-04-04, ,2024-04-11, ,2024-04-13, 
청주,2018,2018-03-18,-9일,2018-04-03,-9일,2018-04-06,-6일
청주,2019,2019-03-19,-8일,2019-04-07,-5일,2019-04-12,0일
청주,2020,2020-03-14,-13일,2020-03-29,-14일,2020-04-01,-11일
청주,2021,2021-03-12,-15일,2021-03-29,-14일,2021-04-01,-11일
청주,2022,2022-03-27,0일,2022-04-07,-5일,2022-04-09,-3일
청주,2023,2023-03-11,-16일,2023-03-28,-15일,2023-03-31,-12일
청주,2024,2024-03-09,-18일,2024-04-02,-10일,2024-04-06,-6일
